,key,value,date
106,API,63,02/4/16
107,API,87,02/4/17
108,API,64,02/4/18
109,API,63,02/4/19
110,API,59,02/4/20
111,API,55,02/4/21
112,API,59,02/4/22
113,API,56,02/4/23
114,API,63,02/4/24
115,API,72,02/4/25
116,API,71,02/4/26
117,API,92,02/4/27
118,API,72,02/4/28
119,API,64,02/4/29
120,API,86,02/4/30
121,API,88,02/5/1
122,API,72,02/5/2
123,API,93,02/5/3
124,API,107,02/5/4
125,API,101,02/5/5
126,API,65,02/5/6
127,API,52,02/5/7
128,API,68,02/5/8
129,API,85,02/5/9
130,API,80,02/5/10
131,API,67,02/5/11
132,API,59,02/5/12
133,API,77,02/5/13
134,API,71,02/5/14
135,API,51,02/5/15
136,API,42,02/5/16
137,API,43,02/5/17
138,API,71,02/5/18
139,API,82,02/5/19
140,API,79,02/5/20
141,API,89,02/5/21
142,API,87,02/5/22
143,API,77,02/5/23
144,API,71,02/5/24
145,API,63,02/5/25
146,API,86,02/5/26
147,API,78,02/5/27
148,API,86,02/5/28
149,API,65,02/5/29
150,API,65,02/5/30
151,API,70,02/5/31
152,API,70,02/6/1
153,API,86,02/6/2
154,API,89,02/6/3
155,API,74,02/6/4
156,API,68,02/6/5
157,API,65,02/6/6
158,API,62,02/6/7
159,API,72,02/6/8
160,API,91,02/6/9
161,API,57,02/6/10
162,API,57,02/6/11
163,API,68,02/6/12
164,API,60,02/6/13
165,API,70,02/6/14
166,API,102,02/6/15
167,API,86,02/6/16
168,API,77,02/6/17
169,API,70,02/6/18
170,API,70,02/6/19
171,API,82,02/6/20
172,API,86,02/6/21
173,API,71,02/6/22
174,API,63,02/6/23
175,API,42,02/6/24
176,API,68,02/6/25
177,API,91,02/6/26
178,API,74,02/6/27
179,API,81,02/6/28
180,API,62,02/6/29
181,API,61,02/6/30
182,API,75,02/7/1
183,API,74,02/7/2
184,API,87,02/7/3
185,API,84,02/7/4
186,API,70,02/7/5
187,API,67,02/7/6
188,API,71,02/7/7
189,API,72,02/7/8
190,API,84,02/7/9
191,API,82,02/7/10
192,API,72,02/7/11
193,API,69,02/7/12
194,API,65,02/7/13
195,API,75,02/7/14
196,API,68,02/7/15
197,API,81,02/7/16
198,API,79,02/7/17
199,API,64,02/7/18
200,API,58,02/7/19
201,API,57,02/7/20
202,API,67,02/7/21
203,API,81,02/7/22
204,API,86,02/7/23
205,API,87,02/7/24
206,API,126,02/7/25
207,API,70,02/7/26
208,API,63,02/7/27
209,API,66,02/7/28
210,API,69,02/7/29
211,API,85,02/7/30
212,API,72,02/7/31
213,API,66,02/8/1
214,API,66,02/8/2
215,API,66,02/8/3
216,API,61,02/8/4
217,API,63,02/8/5
218,API,67,02/8/6
219,API,54,02/8/7
220,API,54,02/8/8
221,API,57,02/8/9
222,API,61,02/8/10
223,API,74,02/8/11
224,API,75,02/8/12
225,API,82,02/8/13
226,API,69,02/8/14
227,API,75,02/8/15
228,API,84,02/8/16
229,API,77,02/8/17
230,API,77,02/8/18
231,API,61,02/8/19
232,API,60,02/8/20
233,API,74,02/8/21
234,API,72,02/8/22
235,API,98,02/8/23
236,API,94,02/8/24
237,API,72,02/8/25
238,API,52,02/8/26
239,API,59,02/8/27
240,API,72,02/8/28
241,API,58,02/8/29
242,API,68,02/8/30
243,API,84,02/8/31
244,API,77,02/9/1
245,API,56,02/9/2
246,API,49,02/9/3
247,API,44,02/9/4
248,API,39,02/9/5
249,API,61,02/9/6
250,API,64,02/9/7
251,API,83,02/9/8
252,API,95,02/9/9
253,API,86,02/9/10
254,API,83,02/9/11
255,API,38,02/9/12
256,API,37,02/9/13
257,API,30,02/9/14
258,API,55,02/9/15
259,API,60,02/9/16
260,API,74,02/9/17
261,API,82,02/9/18
262,API,74,02/9/19
263,API,60,02/9/20
264,API,51,02/9/21
265,API,57,02/9/22
266,API,59,02/9/23
267,API,65,02/9/24
268,API,54,02/9/25
269,API,69,02/9/26
270,API,61,02/9/27
271,API,40,02/9/28
272,API,53,02/9/29
273,API,64,02/9/30
274,API,64,02/10/1
275,API,68,02/10/2
276,API,75,02/10/3
277,API,85,02/10/4
278,API,94,02/10/5
279,API,52,02/10/6
280,API,54,02/10/7
281,API,61,02/10/8
282,API,60,02/10/9
283,API,58,02/10/10
284,API,61,02/10/11
285,API,73,02/10/12
286,API,113,02/10/13
287,API,105,02/10/14
288,API,115,02/10/15
289,API,106,02/10/16
290,API,97,02/10/17
291,API,75,02/10/18
292,API,39,02/10/19
293,API,29,02/10/20
294,API,44,02/10/21
295,API,48,02/10/22
296,API,55,02/10/23
297,API,81,02/10/24
298,API,54,02/10/25
299,API,52,02/10/26
300,API,57,02/10/27
301,API,68,02/10/28
302,API,94,02/10/29
303,API,122,02/10/30
304,API,99,02/10/31
305,API,71,02/11/1
306,API,76,02/11/2
307,API,65,02/11/3
308,API,81,02/11/4
309,API,97,02/11/5
310,API,146,02/11/6
311,API,122,02/11/7
312,API,68,02/11/8
313,API,60,02/11/9
314,API,84,02/11/10
315,API,146,02/11/11
316,API,324,02/11/12
317,API,93,02/11/13
318,API,110,02/11/14
319,API,123,02/11/15
320,API,97,02/11/16
321,API,69,02/11/17
322,API,53,02/11/18
323,API,79,02/11/19
324,API,102,02/11/20
325,API,110,02/11/21
326,API,117,02/11/22
327,API,91,02/11/23
328,API,164,02/11/24
329,API,157,02/11/25
330,API,84,02/11/26
331,API,91,02/11/27
332,API,104,02/11/28
333,API,131,02/11/29
334,API,138,02/11/30
335,API,142,02/12/1
336,API,155,02/12/2
337,API,170,02/12/3
338,API,125,02/12/4
339,API,91,02/12/5
340,API,46,02/12/6
341,API,48,02/12/7
342,API,41,02/12/8
343,API,60,02/12/9
344,API,77,02/12/10
345,API,111,02/12/11
346,API,126,02/12/12
347,API,132,02/12/13
348,API,133,02/12/14
349,API,154,02/12/15
350,API,84,02/12/16
351,API,82,02/12/17
352,API,101,02/12/18
353,API,117,02/12/19
354,API,165,02/12/20
355,API,110,02/12/21
356,API,86,02/12/22
357,API,93,02/12/23
358,API,85,02/12/24
359,API,83,02/12/25
360,API,108,02/12/26
361,API,146,02/12/27
362,API,108,02/12/28
363,API,187,02/12/29
364,API,213,02/12/30
365,API,145,02/12/31
1461,API,189,03/1/1
1462,API,131,03/1/2
1463,API,126,03/1/3
1464,API,106,03/1/4
1465,API,115,03/1/5
1466,API,111,03/1/6
1467,API,130,03/1/7
1468,API,112,03/1/8
1469,API,107,03/1/9
1470,API,180,03/1/10
1471,API,158,03/1/11
1472,API,103,03/1/12
1473,API,102,03/1/13
1474,API,102,03/1/14
1475,API,104,03/1/15
1476,API,82,03/1/16
1477,API,121,03/1/17
1478,API,132,03/1/18
1479,API,161,03/1/19
1480,API,127,03/1/20
1481,API,103,03/1/21
1482,API,99,03/1/22
1483,API,75,03/1/23
1484,API,101,03/1/24
1485,API,113,03/1/25
1486,API,118,03/1/26
1487,API,87,03/1/27
1488,API,58,03/1/28
1489,API,79,03/1/29
1490,API,90,03/1/30
1491,API,87,03/1/31
1492,API,94,03/2/1
1493,API,103,03/2/2
1494,API,90,03/2/3
1495,API,137,03/2/4
1496,API,73,03/2/5
1497,API,66,03/2/6
1498,API,63,03/2/7
1499,API,62,03/2/8
1500,API,86,03/2/9
1501,API,69,03/2/10
1502,API,57,03/2/11
1503,API,61,03/2/12
1504,API,73,03/2/13
1505,API,102,03/2/14
1506,API,105,03/2/15
1507,API,99,03/2/16
1508,API,102,03/2/17
1509,API,149,03/2/18
1510,API,174,03/2/19
1511,API,126,03/2/20
1512,API,89,03/2/21
1513,API,68,03/2/22
1514,API,98,03/2/23
1515,API,130,03/2/24
1516,API,181,03/2/25
1517,API,144,03/2/26
1518,API,115,03/2/27
1519,API,98,03/2/28
1520,API,105,03/3/1
1521,API,136,03/3/2
1522,API,96,03/3/3
1523,API,86,03/3/4
1524,API,96,03/3/5
1525,API,77,03/3/6
1526,API,95,03/3/7
1527,API,133,03/3/8
1528,API,132,03/3/9
1529,API,84,03/3/10
1530,API,71,03/3/11
1531,API,79,03/3/12
1532,API,101,03/3/13
1533,API,131,03/3/14
1534,API,126,03/3/15
1535,API,108,03/3/16
1536,API,102,03/3/17
1537,API,152,03/3/18
1538,API,142,03/3/19
1539,API,93,03/3/20
1540,API,77,03/3/21
1541,API,93,03/3/22
1542,API,103,03/3/23
1543,API,124,03/3/24
1544,API,112,03/3/25
1545,API,104,03/3/26
1546,API,108,03/3/27
1547,API,88,03/3/28
1548,API,98,03/3/29
1549,API,138,03/3/30
1550,API,144,03/3/31
1551,API,94,03/4/1
1552,API,80,03/4/2
1553,API,65,03/4/3
1554,API,73,03/4/4
1555,API,99,03/4/5
1556,API,89,03/4/6
1557,API,96,03/4/7
1558,API,98,03/4/8
1559,API,106,03/4/9
1560,API,89,03/4/10
1561,API,103,03/4/11
1562,API,151,03/4/12
1563,API,156,03/4/13
1564,API,102,03/4/14
1565,API,131,03/4/15
1566,API,124,03/4/16
1567,API,102,03/4/17
1568,API,77,03/4/18
1569,API,81,03/4/19
1570,API,90,03/4/20
1571,API,81,03/4/21
1572,API,63,03/4/22
1573,API,83,03/4/23
1574,API,134,03/4/24
1575,API,120,03/4/25
1576,API,83,03/4/26
1577,API,134,03/4/27
1578,API,95,03/4/28
1579,API,87,03/4/29
1580,API,77,03/4/30
1581,API,78,03/5/1
1582,API,74,03/5/2
1583,API,77,03/5/3
1584,API,113,03/5/4
1585,API,85,03/5/5
1586,API,81,03/5/6
1587,API,83,03/5/7
1588,API,101,03/5/8
1589,API,109,03/5/9
1590,API,115,03/5/10
1591,API,99,03/5/11
1592,API,102,03/5/12
1593,API,94,03/5/13
1594,API,78,03/5/14
1595,API,95,03/5/15
1596,API,97,03/5/16
1597,API,119,03/5/17
1598,API,122,03/5/18
1599,API,85,03/5/19
1600,API,97,03/5/20
1601,API,103,03/5/21
1602,API,92,03/5/22
1603,API,71,03/5/23
1604,API,102,03/5/24
1605,API,82,03/5/25
1606,API,79,03/5/26
1607,API,103,03/5/27
1608,API,72,03/5/28
1609,API,68,03/5/29
1610,API,90,03/5/30
1611,API,84,03/5/31
1612,API,83,03/6/1
1613,API,66,03/6/2
1614,API,73,03/6/3
1615,API,73,03/6/4
1616,API,78,03/6/5
1617,API,97,03/6/6
1618,API,64,03/6/7
1619,API,82,03/6/8
1620,API,73,03/6/9
1621,API,87,03/6/10
1622,API,75,03/6/11
1623,API,61,03/6/12
1624,API,56,03/6/13
1625,API,60,03/6/14
1626,API,73,03/6/15
1627,API,68,03/6/16
1628,API,75,03/6/17
1629,API,84,03/6/18
1630,API,97,03/6/19
1631,API,101,03/6/20
1632,API,81,03/6/21
1633,API,70,03/6/22
1634,API,73,03/6/23
1635,API,63,03/6/24
1636,API,75,03/6/25
1637,API,73,03/6/26
1638,API,100,03/6/27
1639,API,102,03/6/28
1640,API,74,03/6/29
1641,API,72,03/6/30
1642,API,78,03/7/1
1643,API,85,03/7/2
1644,API,96,03/7/3
1645,API,70,03/7/4
1646,API,69,03/7/5
1647,API,62,03/7/6
1648,API,85,03/7/7
1649,API,77,03/7/8
1650,API,66,03/7/9
1651,API,79,03/7/10
1652,API,86,03/7/11
1653,API,69,03/7/12
1654,API,75,03/7/13
1655,API,78,03/7/14
1656,API,64,03/7/15
1657,API,77,03/7/16
1658,API,65,03/7/17
1659,API,52,03/7/18
1660,API,83,03/7/19
1661,API,112,03/7/20
1662,API,65,03/7/21
1663,API,75,03/7/22
1664,API,100,03/7/23
1665,API,89,03/7/24
1666,API,75,03/7/25
1667,API,58,03/7/26
1668,API,56,03/7/27
1669,API,53,03/7/28
1670,API,73,03/7/29
1671,API,82,03/7/30
1672,API,82,03/7/31
1673,API,73,03/8/1
1674,API,83,03/8/2
1675,API,76,03/8/3
1676,API,87,03/8/4
1677,API,64,03/8/5
1678,API,75,03/8/6
1679,API,102,03/8/7
1680,API,94,03/8/8
1681,API,87,03/8/9
1682,API,85,03/8/10
1683,API,79,03/8/11
1684,API,80,03/8/12
1685,API,71,03/8/13
1686,API,65,03/8/14
1687,API,78,03/8/15
1688,API,55,03/8/16
1689,API,78,03/8/17
1690,API,70,03/8/18
1691,API,61,03/8/19
1692,API,76,03/8/20
1693,API,79,03/8/21
1694,API,56,03/8/22
1695,API,55,03/8/23
1696,API,57,03/8/24
1697,API,71,03/8/25
1698,API,75,03/8/26
1699,API,52,03/8/27
1700,API,61,03/8/28
1701,API,54,03/8/29
1702,API,36,03/8/30
1703,API,53,03/8/31
1704,API,63,03/9/1
1705,API,55,03/9/2
1706,API,78,03/9/3
1707,API,87,03/9/4
1708,API,42,03/9/5
1709,API,64,03/9/6
1710,API,59,03/9/7
1711,API,55,03/9/8
1712,API,51,03/9/9
1713,API,78,03/9/10
1714,API,79,03/9/11
1715,API,80,03/9/12
1716,API,74,03/9/13
1717,API,76,03/9/14
1718,API,90,03/9/15
1719,API,74,03/9/16
1720,API,90,03/9/17
1721,API,55,03/9/18
1722,API,43,03/9/19
1723,API,52,03/9/20
1724,API,66,03/9/21
1725,API,65,03/9/22
1726,API,50,03/9/23
1727,API,58,03/9/24
1728,API,63,03/9/25
1729,API,99,03/9/26
1730,API,86,03/9/27
1731,API,84,03/9/28
1732,API,68,03/9/29
1733,API,105,03/9/30
1734,API,79,03/10/1
1735,API,75,03/10/2
1736,API,64,03/10/3
1737,API,87,03/10/4
1738,API,97,03/10/5
1739,API,65,03/10/6
1740,API,72,03/10/7
1741,API,67,03/10/8
1742,API,93,03/10/9
1743,API,111,03/10/10
1744,API,84,03/10/11
1745,API,35,03/10/12
1746,API,46,03/10/13
1747,API,57,03/10/14
1748,API,69,03/10/15
1749,API,94,03/10/16
1750,API,89,03/10/17
1751,API,119,03/10/18
1752,API,99,03/10/19
1753,API,75,03/10/20
1754,API,94,03/10/21
1755,API,72,03/10/22
1756,API,68,03/10/23
1757,API,71,03/10/24
1758,API,116,03/10/25
1759,API,88,03/10/26
1760,API,88,03/10/27
1761,API,89,03/10/28
1762,API,118,03/10/29
1763,API,94,03/10/30
1764,API,81,03/10/31
1765,API,80,03/11/1
1766,API,80,03/11/2
1767,API,85,03/11/3
1768,API,85,03/11/4
1769,API,108,03/11/5
1770,API,91,03/11/6
1771,API,39,03/11/7
1772,API,34,03/11/8
1773,API,51,03/11/9
1774,API,75,03/11/10
1775,API,75,03/11/11
1776,API,80,03/11/12
1777,API,88,03/11/13
1778,API,90,03/11/14
1779,API,123,03/11/15
1780,API,78,03/11/16
1781,API,91,03/11/17
1782,API,112,03/11/18
1783,API,114,03/11/19
1784,API,85,03/11/20
1785,API,77,03/11/21
1786,API,57,03/11/22
1787,API,80,03/11/23
1788,API,95,03/11/24
1789,API,112,03/11/25
1790,API,69,03/11/26
1791,API,53,03/11/27
1792,API,71,03/11/28
1793,API,104,03/11/29
1794,API,128,03/11/30
1795,API,117,03/12/1
1796,API,140,03/12/2
1797,API,171,03/12/3
1798,API,134,03/12/4
1799,API,88,03/12/5
1800,API,80,03/12/6
1801,API,58,03/12/7
1802,API,68,03/12/8
1803,API,96,03/12/9
1804,API,113,03/12/10
1805,API,89,03/12/11
1806,API,98,03/12/12
1807,API,129,03/12/13
1808,API,142,03/12/14
1809,API,143,03/12/15
1810,API,166,03/12/16
1811,API,173,03/12/17
1812,API,169,03/12/18
1813,API,97,03/12/19
1814,API,112,03/12/20
1815,API,108,03/12/21
1816,API,86,03/12/22
1817,API,129,03/12/23
1818,API,168,03/12/24
1819,API,158,03/12/25
1820,API,94,03/12/26
1821,API,107,03/12/27
1822,API,95,03/12/28
1823,API,132,03/12/29
1824,API,123,03/12/30
1825,API,109,03/12/31
2921,API,134,04/1/1
2922,API,148,04/1/2
2923,API,128,04/1/3
2924,API,173,04/1/4
2925,API,186,04/1/5
2926,API,232,04/1/6
2927,API,363,04/1/7
2928,API,93,04/1/8
2929,API,90,04/1/9
2930,API,129,04/1/10
2931,API,91,04/1/11
2932,API,96,04/1/12
2933,API,104,04/1/13
2934,API,88,04/1/14
2935,API,109,04/1/15
2936,API,89,04/1/16
2937,API,79,04/1/17
2938,API,84,04/1/18
2939,API,100,04/1/19
2940,API,105,04/1/20
2941,API,74,04/1/21
2942,API,87,04/1/22
2943,API,79,04/1/23
2944,API,65,04/1/24
2945,API,73,04/1/25
2946,API,81,04/1/26
2947,API,88,04/1/27
2948,API,80,04/1/28
2949,API,95,04/1/29
2950,API,143,04/1/30
2951,API,220,04/1/31
2952,API,192,04/2/1
2953,API,87,04/2/2
2954,API,95,04/2/3
2955,API,112,04/2/4
2956,API,95,04/2/5
2957,API,92,04/2/6
2958,API,124,04/2/7
2959,API,103,04/2/8
2960,API,114,04/2/9
2961,API,106,04/2/10
2962,API,185,04/2/11
2963,API,171,04/2/12
2964,API,160,04/2/13
2965,API,196,04/2/14
2966,API,115,04/2/15
2967,API,143,04/2/16
2968,API,194,04/2/17
2969,API,156,04/2/18
2970,API,139,04/2/19
2971,API,151,04/2/20
2972,API,138,04/2/21
2973,API,65,04/2/22
2974,API,95,04/2/23
2975,API,99,04/2/24
2976,API,120,04/2/25
2977,API,115,04/2/26
2978,API,110,04/2/27
2979,API,119,04/2/28
2980,API,112,04/3/1
2981,API,97,04/3/2
2982,API,122,04/3/3
2983,API,132,04/3/4
2984,API,98,04/3/5
2985,API,110,04/3/6
2986,API,82,04/3/7
2987,API,89,04/3/8
2988,API,112,04/3/9
2989,API,121,04/3/10
2990,API,175,04/3/11
2991,API,173,04/3/12
2992,API,128,04/3/13
2993,API,104,04/3/14
2994,API,148,04/3/15
2995,API,123,04/3/16
2996,API,122,04/3/17
2997,API,148,04/3/18
2998,API,76,04/3/19
2999,API,92,04/3/20
3000,API,99,04/3/21
3001,API,151,04/3/22
3002,API,117,04/3/23
3003,API,102,04/3/24
3004,API,115,04/3/25
3005,API,118,04/3/26
3006,API,128,04/3/27
3007,API,102,04/3/28
3008,API,117,04/3/29
3009,API,128,04/3/30
3010,API,186,04/3/31
3011,API,149,04/4/1
3012,API,124,04/4/2
3013,API,111,04/4/3
3014,API,73,04/4/4
3015,API,86,04/4/5
3016,API,91,04/4/6
3017,API,114,04/4/7
3018,API,112,04/4/8
3019,API,97,04/4/9
3020,API,115,04/4/10
3021,API,95,04/4/11
3022,API,143,04/4/12
3023,API,165,04/4/13
3024,API,117,04/4/14
3025,API,115,04/4/15
3026,API,122,04/4/16
3027,API,113,04/4/17
3028,API,122,04/4/18
3029,API,119,04/4/19
3030,API,130,04/4/20
3031,API,136,04/4/21
3032,API,157,04/4/22
3033,API,169,04/4/23
3034,API,150,04/4/24
3035,API,155,04/4/25
3036,API,108,04/4/26
3037,API,108,04/4/27
3038,API,69,04/4/28
3039,API,88,04/4/29
3040,API,102,04/4/30
3041,API,113,04/5/1
3042,API,98,04/5/2
3043,API,141,04/5/3
3044,API,87,04/5/4
3045,API,104,04/5/5
3046,API,92,04/5/6
3047,API,133,04/5/7
3048,API,142,04/5/8
3049,API,106,04/5/9
3050,API,124,04/5/10
3051,API,147,04/5/11
3052,API,136,04/5/12
3053,API,119,04/5/13
3054,API,119,04/5/14
3055,API,113,04/5/15
3056,API,90,04/5/16
3057,API,118,04/5/17
3058,API,79,04/5/18
3059,API,96,04/5/19
3060,API,97,04/5/20
3061,API,98,04/5/21
3062,API,106,04/5/22
3063,API,103,04/5/23
3064,API,102,04/5/24
3065,API,91,04/5/25
3066,API,102,04/5/26
3067,API,94,04/5/27
3068,API,94,04/5/28
3069,API,95,04/5/29
3070,API,144,04/5/30
3071,API,100,04/5/31
3072,API,101,04/6/1
3073,API,90,04/6/2
3074,API,116,04/6/3
3075,API,86,04/6/4
3076,API,86,04/6/5
3077,API,97,04/6/6
3078,API,110,04/6/7
3079,API,105,04/6/8
3080,API,112,04/6/9
3081,API,116,04/6/10
3082,API,140,04/6/11
3083,API,174,04/6/12
3084,API,164,04/6/13
3085,API,149,04/6/14
3086,API,144,04/6/15
3087,API,126,04/6/16
3088,API,94,04/6/17
3089,API,89,04/6/18
3090,API,101,04/6/19
3091,API,97,04/6/20
3092,API,136,04/6/21
3093,API,129,04/6/22
3094,API,102,04/6/23
3095,API,87,04/6/24
3096,API,119,04/6/25
3097,API,95,04/6/26
3098,API,127,04/6/27
3099,API,137,04/6/28
3100,API,142,04/6/29
3101,API,130,04/6/30
3102,API,134,04/7/1
3103,API,141,04/7/2
3104,API,123,04/7/3
3105,API,129,04/7/4
3106,API,103,04/7/5
3107,API,100,04/7/6
3108,API,104,04/7/7
3109,API,100,04/7/8
3110,API,87,04/7/9
3111,API,120,04/7/10
3112,API,141,04/7/11
3113,API,115,04/7/12
3114,API,83,04/7/13
3115,API,100,04/7/14
3116,API,116,04/7/15
3117,API,121,04/7/16
3118,API,127,04/7/17
3119,API,101,04/7/18
3120,API,85,04/7/19
3121,API,84,04/7/20
3122,API,77,04/7/21
3123,API,78,04/7/22
3124,API,74,04/7/23
3125,API,71,04/7/24
3126,API,76,04/7/25
3127,API,93,04/7/26
3128,API,100,04/7/27
3129,API,98,04/7/28
3130,API,111,04/7/29
3131,API,113,04/7/30
3132,API,87,04/7/31
3133,API,69,04/8/1
3134,API,92,04/8/2
3135,API,129,04/8/3
3136,API,86,04/8/4
3137,API,76,04/8/5
3138,API,52,04/8/6
3139,API,73,04/8/7
3140,API,75,04/8/8
3141,API,63,04/8/9
3142,API,72,04/8/10
3143,API,60,04/8/11
3144,API,65,04/8/12
3145,API,59,04/8/13
3146,API,55,04/8/14
3147,API,52,04/8/15
3148,API,64,04/8/16
3149,API,58,04/8/17
3150,API,46,04/8/18
3151,API,79,04/8/19
3152,API,79,04/8/20
3153,API,69,04/8/21
3154,API,52,04/8/22
3155,API,64,04/8/23
3156,API,66,04/8/24
3157,API,56,04/8/25
3158,API,77,04/8/26
3159,API,86,04/8/27
3160,API,72,04/8/28
3161,API,39,04/8/29
3162,API,60,04/8/30
3163,API,52,04/8/31
3164,API,44,04/9/1
3165,API,72,04/9/2
3166,API,79,04/9/3
3167,API,77,04/9/4
3168,API,96,04/9/5
3169,API,82,04/9/6
3170,API,52,04/9/7
3171,API,44,04/9/8
3172,API,40,04/9/9
3173,API,73,04/9/10
3174,API,71,04/9/11
3175,API,51,04/9/12
3176,API,59,04/9/13
3177,API,59,04/9/14
3178,API,24,04/9/15
3179,API,44,04/9/16
3180,API,44,04/9/17
3181,API,31,04/9/18
3182,API,54,04/9/19
3183,API,34,04/9/20
3184,API,45,04/9/21
3185,API,56,04/9/22
3186,API,55,04/9/23
3187,API,55,04/9/24
3188,API,59,04/9/25
3189,API,54,04/9/26
3190,API,69,04/9/27
3191,API,70,04/9/28
3192,API,69,04/9/29
3193,API,58,04/9/30
3194,API,28,04/10/1
3195,API,31,04/10/2
3196,API,35,04/10/3
3197,API,47,04/10/4
3198,API,56,04/10/5
3199,API,51,04/10/6
3200,API,55,04/10/7
3201,API,68,04/10/8
3202,API,95,04/10/9
3203,API,89,04/10/10
3204,API,85,04/10/11
3205,API,68,04/10/12
3206,API,72,04/10/13
3207,API,53,04/10/14
3208,API,59,04/10/15
3209,API,84,04/10/16
3210,API,103,04/10/17
3211,API,102,04/10/18
3212,API,101,04/10/19
3213,API,92,04/10/20
3214,API,78,04/10/21
3215,API,67,04/10/22
3216,API,77,04/10/23
3217,API,63,04/10/24
3218,API,83,04/10/25
3219,API,50,04/10/26
3220,API,59,04/10/27
3221,API,68,04/10/28
3222,API,87,04/10/29
3223,API,85,04/10/30
3224,API,66,04/10/31
3225,API,57,04/11/1
3226,API,64,04/11/2
3227,API,79,04/11/3
3228,API,62,04/11/4
3229,API,53,04/11/5
3230,API,51,04/11/6
3231,API,58,04/11/7
3232,API,91,04/11/8
3233,API,161,04/11/9
3234,API,105,04/11/10
3235,API,62,04/11/11
3236,API,72,04/11/12
3237,API,88,04/11/13
3238,API,77,04/11/14
3239,API,80,04/11/15
3240,API,63,04/11/16
3241,API,68,04/11/17
3242,API,67,04/11/18
3243,API,65,04/11/19
3244,API,66,04/11/20
3245,API,55,04/11/21
3246,API,61,04/11/22
3247,API,55,04/11/23
3248,API,65,04/11/24
3249,API,25,04/11/25
3250,API,23,04/11/26
3251,API,47,04/11/27
3252,API,56,04/11/28
3253,API,73,04/11/29
3254,API,72,04/11/30
3255,API,78,04/12/1
3256,API,87,04/12/2
3257,API,94,04/12/3
3258,API,75,04/12/4
3259,API,44,04/12/5
3260,API,61,04/12/6
3261,API,111,04/12/7
3262,API,65,04/12/8
3263,API,70,04/12/9
3264,API,97,04/12/10
3265,API,93,04/12/11
3266,API,72,04/12/12
3267,API,105,04/12/13
3268,API,102,04/12/14
3269,API,107,04/12/15
3270,API,63,04/12/16
3271,API,68,04/12/17
3272,API,79,04/12/18
3273,API,91,04/12/19
3274,API,55,04/12/20
3275,API,58,04/12/21
3276,API,53,04/12/22
3277,API,39,04/12/23
3278,API,52,04/12/24
3279,API,80,04/12/25
3280,API,86,04/12/26
3281,API,88,04/12/27
3282,API,58,04/12/28
3283,API,56,04/12/29
3284,API,60,04/12/30
3285,API,56,04/12/31
4381,API,57,05/1/1
4382,API,66,05/1/2
4383,API,69,05/1/3
4384,API,72,05/1/4
4385,API,99,05/1/5
4386,API,72,05/1/6
4387,API,83,05/1/7
4388,API,97,05/1/8
